Species,Climate,Plot,Mesocosm,Community,Moisture,GWC,Species_biomass,Com_biomass,Proportion,Other_biomass
Festuca,Future,A,2,Stress-tolerant,700,7.025081906,0.487323944,270.349,0.1802574,269.8616761
Festuca,Future,A,4,Stress-tolerant,1600,11.53846154,0.184425352,385.176,0.0478808,384.9915746
Festuca,Future,A,6,Stress-tolerant,0,8.468854123,0.908450704,166.941,0.5441747,166.0325493
Festuca,Future,A,7,Stress-tolerant,400,7.855652387,0.164053521,234.101,0.0700781,233.9369465
Festuca,Future,A,9,Stress-tolerant,1300,11.77822905,5.633802817,361.864,1.556884,356.2301972
Festuca,Future,A,11,Stress-tolerant,1000,8.066911251,0.635211268,387.077,0.1641046,386.4417887
Festuca,Current,B,13,Stress-tolerant,700,9.796478304,2.181690141,266.99,0.817143,264.8083099
Festuca,Current,B,15,Stress-tolerant,1600,14.84019674,31.13802817,376.41,8.2723701,345.2719718
Festuca,Current,B,17,Stress-tolerant,0,8.008504607,2.101408451,236.039,0.8902802,233.9375915
Festuca,Current,B,20,Stress-tolerant,400,7.119490739,2.163380282,233.438,0.9267473,231.2746197
Festuca,Current,B,22,Stress-tolerant,1300,22.93982783,16.89577465,319.86,5.2822406,302.9642254
Festuca,Current,B,24,Stress-tolerant,1000,22.8444974,2.687323944,355.445,0.7560449,352.7576761
Festuca,Future,C,25,Stress-tolerant,900,12.05030961,0.894366197,295.116,0.3030558,294.2216338
Festuca,Future,C,27,Stress-tolerant,1200,16.1399646,3.997183099,378.807,1.0552031,374.8098169
Festuca,Future,C,29,Stress-tolerant,1500,20.00490316,1.942253521,310.788,0.6249448,308.8457465
Festuca,Future,C,32,Stress-tolerant,0,6.075412762,0.318309859,228.832,0.139102,228.5136901
Festuca,Future,C,34,Stress-tolerant,300,9.730542183,0.092957747,171.146,0.0543149,171.0530423
Festuca,Future,C,36,Stress-tolerant,600,11.20004467,1.401408451,240.327,0.5831257,238.9255915
Festuca,Current,D,38,Stress-tolerant,900,8.64749066,2.484507042,316.036,0.7861468,313.551493
Festuca,Current,D,40,Stress-tolerant,1200,16.4291337,30.50704225,379.819,8.0319948,349.3119578
Festuca,Current,D,42,Stress-tolerant,1500,14.2653867,8.883098592,320.334,2.7730739,311.4509014
Festuca,Current,D,43,Stress-tolerant,0,9.670848949,6.716901408,147.705,4.5475112,140.9880986
Festuca,Current,D,45,Stress-tolerant,300,7.840698598,7.045070423,294.466,2.3924903,287.4209296
Festuca,Current,D,47,Stress-tolerant,600,9.611113439,6.783098592,305.922,2.2172641,299.1389014
Lolium,Future,A,1,Competitive,700,7.849728307,85.08873239,210.705,40.3828729,125.6162676
Lolium,Future,A,3,Competitive,1600,9.530503233,26.61971831,537.079,4.9563879,510.4592817
Lolium,Future,A,5,Competitive,0,7.074982364,39.35915493,214.226,18.3727255,174.8668451
Lolium,Future,A,8,Competitive,400,7.1942959,25.16619718,456.61,5.51153,431.4438028
Lolium,Future,A,10,Competitive,1300,10.04681671,28.98309859,591.937,4.8963147,562.9539014
Lolium,Future,A,12,Competitive,1000,8.557844691,61.03098592,262.902,23.2143483,201.8710141
Lolium,Current,B,14,Competitive,700,8.956181566,177.4746479,303.783,58.4215206,126.3083521
Lolium,Current,B,16,Competitive,1600,11.26601723,122.5478873,484.996,25.267814,362.4481127
Lolium,Current,B,18,Competitive,0,10.63711655,71.96197183,217.65,33.0631619,145.6880282
Lolium,Current,B,19,Competitive,400,8.414476414,68.03239437,266.749,25.5042734,198.7166056
Lolium,Current,B,21,Competitive,1300,11.25777605,74.38591549,352.518,21.1013099,278.1320845
Lolium,Current,B,23,Competitive,1000,9.438405416,70.17605634,297.185,23.613593,227.0089437
Lolium,Future,C,26,Competitive,900,9.317005933,28.82394366,342.792,8.4085812,313.9680563
Lolium,Future,C,28,Competitive,1200,11.69067475,44.75915493,281.77,15.8849966,237.0108451
Lolium,Future,C,30,Competitive,1500,11.4048657,93.6,314.913,29.7224948,221.313
Lolium,Future,C,31,Competitive,0,7.638292309,11.08309859,195.151,5.6792425,184.0679014
Lolium,Future,C,33,Competitive,300,8.430723502,54.18309859,210.522,25.7374994,156.3389014
Lolium,Future,C,35,Competitive,600,10.05391196,40.54084507,297.9,13.6088772,257.3591549
Lolium,Current,D,37,Competitive,900,8.583899127,158.2859155,315.012,50.2475828,156.7260845
Lolium,Current,D,39,Competitive,1200,8.280185534,68.12535211,276.809,24.6109599,208.6836479
Lolium,Current,D,41,Competitive,1500,11.75979304,68.37042254,518.855,13.1771733,450.4845775
Lolium,Current,D,44,Competitive,0,7.174925175,26.82253521,162.204,16.536297,135.3814648
Lolium,Current,D,46,Competitive,300,20.60101642,106.9633803,390.71,27.3766682,283.7466197
Lolium,Current,D,48,Competitive,600,11.55219601,51.4915493,200.148,25.7267369,148.6564507